Drone_X,Drone_Y,Drone_Z
1.9733655,-1.7527557e-09,3.025179
1.9696987,-0.00010453154,3.017647
1.9043138,-0.00046074303,3.0289512
1.6977731,-0.00096204196,3.0193973
1.3794637,-0.0013728036,2.979054
0.9627176,-0.0015078324,2.9657974
0.5531034,-0.0013627381,2.9889107
0.21984254,-0.0010780394,3.0272415
0.017180981,-0.00077821384,3.059175
-0.093120866,-0.00058594893,3.0898657
-0.15542562,-0.0008073807,3.1289687
-0.21699113,-0.0013429713,3.1586428
-0.2711677,-0.0017513717,3.1803799
-0.3071598,-0.0019068349,3.2007828
-0.32137114,-0.00186044,3.2182717
-0.32752958,-0.0018157547,3.2338977
-0.34054074,-0.0019361821,3.2480347
-0.37305436,-0.0023125606,3.2615647
-0.42360702,-0.0028863621,3.273271
-0.4790226,-0.0034877157,3.2832494
